INSERT INTO CircuitoB.Turno (Fecha, Hora, LugarDeAtencion_id,  Paciente_id, TurnoStatus) VALUES 
('2024-05-09', '07:00:00', 3,  NULL,  1),
('2024-05-09', '07:00:00', 4,  NULL,  1),
('2024-05-09', '07:00:00', 5,  NULL,  1),
('2024-05-09', '07:30:00', 1,  NULL,  1),
('2024-05-09', '07:30:00', 2,  NULL,  1),
('2024-05-09', '07:30:00', 3,  NULL,  1),
('2024-05-09', '07:30:00', 4,  NULL,  1),
('2024-05-09', '07:30:00', 5,  NULL,  1),
('2024-05-09', '08:00:00', 1,  NULL,  1),
('2024-05-09', '08:00:00', 2,  NULL,  1),
('2024-05-09', '08:00:00', 3,  NULL,  1),
('2024-05-09', '08:00:00', 4,  NULL,  1),
('2024-05-09', '08:00:00', 5,  NULL,  1),
('2024-05-09', '08:30:00', 1,  NULL,  1),
('2024-05-09', '08:30:00', 2,  NULL,  1),
('2024-05-09', '08:30:00', 3,  NULL,  1),
('2024-05-09', '08:30:00', 4,  NULL,  1),
('2024-05-09', '08:30:00', 5,  NULL,  1),
('2024-05-09', '09:00:00', 1,  NULL,  1),
('2024-05-09', '09:00:00', 2,  NULL,  1),
('2024-05-09', '09:00:00', 3,  NULL,  1),
('2024-05-09', '09:00:00', 4,  NULL,  1),
('2024-05-09', '09:00:00', 5,  NULL,  1),
('2024-05-09', '09:30:00', 1,  NULL,  1),
('2024-05-09', '09:30:00', 2,  NULL,  1),
('2024-05-09', '09:30:00', 3,  NULL,  1),
('2024-05-09', '09:30:00', 4,  NULL,  1),
('2024-05-09', '09:30:00', 5,  NULL,  1),
('2024-05-09', '10:00:00', 1,  NULL,  1),
('2024-05-09', '10:00:00', 2,  NULL,  1),
('2024-05-09', '10:00:00', 3,  NULL,  1),
('2024-05-09', '10:00:00', 4,  NULL,  1),
('2024-05-09', '10:00:00', 5,  NULL,  1),
('2024-05-09', '10:30:00', 1,  NULL,  1),
('2024-05-09', '10:30:00', 2,  NULL,  1),
('2024-05-09', '10:30:00', 3,  NULL,  1),
('2024-05-09', '10:30:00', 4,  NULL,  1),
('2024-05-09', '10:30:00', 5,  NULL,  1),
('2024-05-09', '11:00:00', 1,  NULL,  1),
('2024-05-09', '11:00:00', 2,  NULL,  1),
('2024-05-09', '11:00:00', 3,  NULL,  1),
('2024-05-09', '11:00:00', 4,  NULL,  1),
('2024-05-09', '11:00:00', 5,  NULL,  1),
('2024-05-09', '11:30:00', 1,  NULL,  1),
('2024-05-09', '11:30:00', 2,  NULL,  1),
('2024-05-09', '11:30:00', 3,  NULL,  1),
('2024-05-09', '11:30:00', 4,  NULL,  1),
('2024-05-09', '11:30:00', 5,  NULL,  1),
('2024-05-09', '12:00:00', 1,  NULL,  1),
('2024-05-09', '12:00:00', 2,  NULL,  1),
('2024-05-09', '12:00:00', 3,  NULL,  1),
('2024-05-09', '12:00:00', 4,  NULL,  1),
('2024-05-09', '12:00:00', 5,  NULL,  1),
('2024-05-09', '12:30:00', 1,  NULL,  1),
('2024-05-09', '12:30:00', 2,  NULL,  1),
('2024-05-09', '12:30:00', 3,  NULL,  1),
('2024-05-09', '12:30:00', 4,  NULL,  1),
('2024-05-09', '12:30:00', 5,  NULL,  1),
('2024-05-09', '13:00:00', 1,  NULL,  1),
('2024-05-09', '13:00:00', 2,  NULL,  1),
('2024-05-09', '13:00:00', 3,  NULL,  1),
('2024-05-09', '13:00:00', 4,  NULL,  1),
('2024-05-09', '13:00:00', 5,  NULL,  1),
('2024-05-09', '13:30:00', 1,  NULL,  1),
('2024-05-09', '13:30:00', 2,  NULL,  1),
('2024-05-09', '13:30:00', 3,  NULL,  1),
('2024-05-09', '13:30:00', 4,  NULL,  1),
('2024-05-09', '13:30:00', 5,  NULL,  1),
('2024-05-09', '14:00:00', 1,  NULL,  1),
('2024-05-09', '14:00:00', 2,  NULL,  1),
('2024-05-09', '14:00:00', 3,  NULL,  1),
('2024-05-09', '14:00:00', 4,  NULL,  1),
('2024-05-09', '14:00:00', 5,  NULL,  1),
('2024-05-09', '14:30:00', 1,  NULL,  1),
('2024-05-09', '14:30:00', 2,  NULL,  1),
('2024-05-09', '14:30:00', 3,  NULL,  1),
('2024-05-09', '14:30:00', 4,  NULL,  1),
('2024-05-09', '14:30:00', 5,  NULL,  1),
('2024-05-09', '15:00:00', 1,  NULL,  1),
('2024-05-09', '15:00:00', 2,  NULL,  1),
('2024-05-09', '15:00:00', 3,  NULL,  1),
('2024-05-09', '15:00:00', 4,  NULL,  1),
('2024-05-09', '15:00:00', 5,  NULL,  1),
('2024-05-09', '15:30:00', 1,  NULL,  1),
('2024-05-09', '15:30:00', 2,  NULL,  1),
('2024-05-09', '15:30:00', 3,  NULL,  1),
('2024-05-09', '15:30:00', 4,  NULL,  1),
('2024-05-09', '15:30:00', 5,  NULL,  1),
('2024-05-09', '16:00:00', 1,  NULL,  1),
('2024-05-09', '16:00:00', 2,  NULL,  1),
('2024-05-09', '16:00:00', 3,  NULL,  1),
('2024-05-09', '16:00:00', 4,  NULL,  1),
('2024-05-09', '16:00:00', 5,  NULL,  1),
('2024-05-09', '16:30:00', 1,  NULL,  1),
('2024-05-09', '16:30:00', 2,  NULL,  1),
('2024-05-09', '16:30:00', 3,  NULL,  1),
('2024-05-09', '16:30:00', 4,  NULL,  1),
('2024-05-09', '16:30:00', 5,  NULL,  1),
('2024-05-09', '17:00:00', 1,  NULL,  1),
('2024-05-09', '17:00:00', 2,  NULL,  1),
('2024-05-09', '17:00:00', 3,  NULL,  1),
('2024-05-09', '17:00:00', 4,  NULL,  1),
('2024-05-09', '17:00:00', 5,  NULL,  1),
('2024-05-09', '17:30:00', 1,  NULL,  1),
('2024-05-09', '17:30:00', 2,  NULL,  1),
('2024-05-09', '17:30:00', 3,  NULL,  1),
('2024-05-09', '17:30:00', 4,  NULL,  1),
('2024-05-09', '17:30:00', 5,  NULL,  1),
('2024-05-09', '18:00:00', 1,  NULL,  1),
('2024-05-09', '18:00:00', 2,  NULL,  1),
('2024-05-09', '18:00:00', 3,  NULL,  1),
('2024-05-09', '18:00:00', 4,  NULL,  1),
('2024-05-09', '18:00:00', 5,  NULL,  1),
('2024-05-09', '18:30:00', 1,  NULL,  1),
('2024-05-09', '18:30:00', 2,  NULL,  1),
('2024-05-09', '18:30:00', 3,  NULL,  1),
('2024-05-09', '18:30:00', 4,  NULL,  1),
('2024-05-09', '18:30:00', 5,  NULL,  1),
('2024-05-09', '19:00:00', 1,  NULL,  1),
('2024-05-09', '19:00:00', 2,  NULL,  1),
('2024-05-09', '19:00:00', 3,  NULL,  1),
('2024-05-09', '19:00:00', 4,  NULL,  1),
('2024-05-09', '19:00:00', 5,  NULL,  1),
('2024-05-09', '19:30:00', 1,  NULL,  1),
('2024-05-09', '19:30:00', 2,  NULL,  1),
('2024-05-09', '19:30:00', 3,  NULL,  1),
('2024-05-09', '19:30:00', 4,  NULL,  1),
('2024-05-09', '19:30:00', 5,  NULL,  1),
('2024-05-09', '20:00:00', 1,  NULL,  1),
('2024-05-09', '20:00:00', 2,  NULL,  1),
('2024-05-09', '20:00:00', 3,  NULL,  1),
('2024-05-09', '20:00:00', 4,  NULL,  1),
('2024-05-09', '20:00:00', 5,  NULL,  1),
('2024-05-09', '20:30:00', 1,  NULL,  1),
('2024-05-09', '20:30:00', 2,  NULL,  1),
('2024-05-09', '20:30:00', 3,  NULL,  1),
('2024-05-09', '20:30:00', 4,  NULL,  1),
('2024-05-09', '20:30:00', 5,  NULL,  1),
('2024-05-09', '21:00:00', 1,  NULL,  1),
('2024-05-09', '21:00:00', 2,  NULL,  1),
('2024-05-09', '21:00:00', 3,  NULL,  1),
('2024-05-09', '21:00:00', 4,  NULL,  1),
('2024-05-09', '21:00:00', 5,  NULL,  1),
('2024-05-09', '21:30:00', 1,  NULL,  1),
('2024-05-09', '21:30:00', 2,  NULL,  1),
('2024-05-09', '21:30:00', 3,  NULL,  1),
('2024-05-09', '21:30:00', 4,  NULL,  1),
('2024-05-09', '21:30:00', 5,  NULL,  1),
('2024-05-09', '22:00:00', 1,  NULL,  1),
('2024-05-09', '22:00:00', 2,  NULL,  1),
('2024-05-09', '22:00:00', 3,  NULL,  1),
('2024-05-09', '22:00:00', 4,  NULL,  1),
('2024-05-09', '22:00:00', 5,  NULL,  1),
('2024-05-09', '22:30:00', 1,  NULL,  1),
('2024-05-09', '22:30:00', 2,  NULL,  1),
('2024-05-09', '22:30:00', 3,  NULL,  1),
('2024-05-09', '22:30:00', 4,  NULL,  1),
('2024-05-09', '22:30:00', 5,  NULL,  1),
('2024-05-09', '23:00:00', 1,  NULL,  1),
('2024-05-09', '23:00:00', 2,  NULL,  1),
('2024-05-09', '23:00:00', 3,  NULL,  1),
('2024-05-09', '23:00:00', 4,  NULL,  1),
('2024-05-09', '23:00:00', 5,  NULL,  1),
('2024-05-09', '23:30:00', 1,  NULL,  1),
('2024-05-09', '23:30:00', 2,  NULL,  1),
('2024-05-09', '23:30:00', 3,  NULL,  1),
('2024-05-09', '23:30:00', 4,  NULL,  1),
('2024-05-09', '23:30:00', 5,  NULL,  1),
('2024-05-10', '00:00:00', 1,  NULL,  1),
('2024-05-10', '00:00:00', 2,  NULL,  1),
('2024-05-10', '00:00:00', 3,  NULL,  1),
('2024-05-10', '00:00:00', 4,  NULL,  1),
('2024-05-10', '00:00:00', 5,  NULL,  1),
('2024-05-10', '00:30:00', 1,  NULL,  1),
('2024-05-10', '00:30:00', 2,  NULL,  1),
('2024-05-10', '00:30:00', 3,  NULL,  1),
('2024-05-10', '00:30:00', 4,  NULL,  1),
('2024-05-10', '00:30:00', 5,  NULL,  1),
('2024-05-10', '01:00:00', 1,  NULL,  1),
('2024-05-10', '01:00:00', 2,  NULL,  1),
('2024-05-10', '01:00:00', 3,  NULL,  1),
('2024-05-10', '01:00:00', 4,  NULL,  1),
('2024-05-10', '01:00:00', 5,  NULL,  1),
('2024-05-10', '01:30:00', 1,  NULL,  1),
('2024-05-10', '01:30:00', 2,  NULL,  1),
('2024-05-10', '01:30:00', 3,  NULL,  1),
('2024-05-10', '01:30:00', 4,  NULL,  1),
('2024-05-10', '01:30:00', 5,  NULL,  1),
('2024-05-10', '02:00:00', 1,  NULL,  1),
('2024-05-10', '02:00:00', 2,  NULL,  1),
('2024-05-10', '02:00:00', 3,  NULL,  1),
('2024-05-10', '02:00:00', 4,  NULL,  1),
('2024-05-10', '02:00:00', 5,  NULL,  1),
('2024-05-10', '02:30:00', 1,  NULL,  1),
('2024-05-10', '02:30:00', 2,  NULL,  1),
('2024-05-10', '02:30:00', 3,  NULL,  1),
('2024-05-10', '02:30:00', 4,  NULL,  1),
('2024-05-10', '02:30:00', 5,  NULL,  1),
('2024-05-10', '03:00:00', 1,  NULL,  1),
('2024-05-10', '03:00:00', 2,  NULL,  1),
('2024-05-10', '03:00:00', 3,  NULL,  1),
('2024-05-10', '03:00:00', 4,  NULL,  1),
('2024-05-10', '03:00:00', 5,  NULL,  1),
('2024-05-10', '03:30:00', 1,  NULL,  1),
('2024-05-10', '03:30:00', 2,  NULL,  1),
('2024-05-10', '03:30:00', 3,  NULL,  1),
('2024-05-10', '03:30:00', 4,  NULL,  1),
('2024-05-10', '03:30:00', 5,  NULL,  1),
('2024-05-10', '04:00:00', 1,  NULL,  1),
('2024-05-10', '04:00:00', 2,  NULL,  1),
('2024-05-10', '04:00:00', 3,  NULL,  1),
('2024-05-10', '04:00:00', 4,  NULL,  1),
('2024-05-10', '04:00:00', 5,  NULL,  1),
('2024-05-10', '04:30:00', 1,  NULL,  1),
('2024-05-10', '04:30:00', 2,  NULL,  1),
('2024-05-10', '04:30:00', 3,  NULL,  1),
('2024-05-10', '04:30:00', 4,  NULL,  1),
('2024-05-10', '04:30:00', 5,  NULL,  1),
('2024-05-10', '05:00:00', 1,  NULL,  1),
('2024-05-10', '05:00:00', 2,  NULL,  1),
('2024-05-10', '05:00:00', 3,  NULL,  1),
('2024-05-10', '05:00:00', 4,  NULL,  1),
('2024-05-10', '05:00:00', 5,  NULL,  1),
('2024-05-10', '05:30:00', 1,  NULL,  1),
('2024-05-10', '05:30:00', 2,  NULL,  1),
('2024-05-10', '05:30:00', 3,  NULL,  1),
('2024-05-10', '05:30:00', 4,  NULL,  1),
('2024-05-10', '05:30:00', 5,  NULL,  1),
('2024-05-10', '06:00:00', 1,  NULL,  1),
('2024-05-10', '06:00:00', 2,  NULL,  1),
('2024-05-10', '06:00:00', 3,  NULL,  1),
('2024-05-10', '06:00:00', 4,  NULL,  1),
('2024-05-10', '06:00:00', 5,  NULL,  1),
('2024-05-10', '06:30:00', 1,  NULL,  1),
('2024-05-10', '06:30:00', 2,  NULL,  1),
('2024-05-10', '06:30:00', 3,  NULL,  1),
('2024-05-10', '06:30:00', 4,  NULL,  1),
('2024-05-10', '06:30:00', 5,  NULL,  1),
('2024-05-10', '07:00:00', 1,  NULL,  1),
('2024-05-10', '07:00:00', 2,  NULL,  1),
('2024-05-10', '07:00:00', 3,  NULL,  1),
('2024-05-10', '07:00:00', 4,  NULL,  1),
('2024-05-10', '07:00:00', 5,  NULL,  1),
('2024-05-10', '07:30:00', 1,  NULL,  1),
('2024-05-10', '07:30:00', 2,  NULL,  1),
('2024-05-10', '07:30:00', 3,  NULL,  1),
('2024-05-10', '07:30:00', 4,  NULL,  1),
('2024-05-10', '07:30:00', 5,  NULL,  1),
('2024-05-10', '08:00:00', 1,  NULL,  1),
('2024-05-10', '08:00:00', 2,  NULL,  1),
('2024-05-10', '08:00:00', 3,  NULL,  1),
('2024-05-10', '08:00:00', 4,  NULL,  1),
('2024-05-10', '08:00:00', 5,  NULL,  1),
('2024-05-10', '08:30:00', 1,  NULL,  1),
('2024-05-10', '08:30:00', 2,  NULL,  1),
('2024-05-10', '08:30:00', 3,  NULL,  1),
('2024-05-10', '08:30:00', 4,  NULL,  1),
('2024-05-10', '08:30:00', 5,  NULL,  1),
('2024-05-10', '09:00:00', 1,  NULL,  1),
('2024-05-10', '09:00:00', 2,  NULL,  1),
('2024-05-10', '09:00:00', 3,  NULL,  1),
('2024-05-10', '09:00:00', 4,  NULL,  1),
('2024-05-10', '09:00:00', 5,  NULL,  1),
('2024-05-10', '09:30:00', 1,  NULL,  1),
('2024-05-10', '09:30:00', 2,  NULL,  1),
('2024-05-10', '09:30:00', 3,  NULL,  1),
('2024-05-10', '09:30:00', 4,  NULL,  1),
('2024-05-10', '09:30:00', 5,  NULL,  1),
('2024-05-10', '10:00:00', 1,  NULL,  1),
('2024-05-10', '10:00:00', 2,  NULL,  1),
('2024-05-10', '10:00:00', 3,  NULL,  1),
('2024-05-10', '10:00:00', 4,  NULL,  1),
('2024-05-10', '10:00:00', 5,  NULL,  1),
('2024-05-10', '10:30:00', 1,  NULL,  1),
('2024-05-10', '10:30:00', 2,  NULL,  1),
('2024-05-10', '10:30:00', 3,  NULL,  1),
('2024-05-10', '10:30:00', 4,  NULL,  1),
('2024-05-10', '10:30:00', 5,  NULL,  1),
('2024-05-10', '11:00:00', 1,  NULL,  1),
('2024-05-10', '11:00:00', 2,  NULL,  1),
('2024-05-10', '11:00:00', 3,  NULL,  1),
('2024-05-10', '11:00:00', 4,  NULL,  1),
('2024-05-10', '11:00:00', 5,  NULL,  1),
('2024-05-10', '11:30:00', 1,  NULL,  1),
('2024-05-10', '11:30:00', 2,  NULL,  1),
('2024-05-10', '11:30:00', 3,  NULL,  1),
('2024-05-10', '11:30:00', 4,  NULL,  1),
('2024-05-10', '11:30:00', 5,  NULL,  1),
('2024-05-10', '12:00:00', 1,  NULL,  1),
('2024-05-10', '12:00:00', 2,  NULL,  1),
('2024-05-10', '12:00:00', 3,  NULL,  1),
('2024-05-10', '12:00:00', 4,  NULL,  1),
('2024-05-10', '12:00:00', 5,  NULL,  1),
('2024-05-10', '12:30:00', 1,  NULL,  1),
('2024-05-10', '12:30:00', 2,  NULL,  1),
('2024-05-10', '12:30:00', 3,  NULL,  1),
('2024-05-10', '12:30:00', 4,  NULL,  1),
('2024-05-10', '12:30:00', 5,  NULL,  1),
('2024-05-10', '13:00:00', 1,  NULL,  1),
('2024-05-10', '13:00:00', 2,  NULL,  1),
('2024-05-10', '13:00:00', 3,  NULL,  1),
('2024-05-10', '13:00:00', 4,  NULL,  1),
('2024-05-10', '13:00:00', 5,  NULL,  1),
('2024-05-10', '13:30:00', 1,  NULL,  1),
('2024-05-10', '13:30:00', 2,  NULL,  1),
('2024-05-10', '13:30:00', 3,  NULL,  1),
('2024-05-10', '13:30:00', 4,  NULL,  1),
('2024-05-10', '13:30:00', 5,  NULL,  1),
('2024-05-10', '14:00:00', 1,  NULL,  1),
('2024-05-10', '14:00:00', 2,  NULL,  1),
('2024-05-10', '14:00:00', 3,  NULL,  1),
('2024-05-10', '14:00:00', 4,  NULL,  1),
('2024-05-10', '14:00:00', 5,  NULL,  1),
('2024-05-10', '14:30:00', 1,  NULL,  1),
('2024-05-10', '14:30:00', 2,  NULL,  1),
('2024-05-10', '14:30:00', 3,  NULL,  1),
('2024-05-10', '14:30:00', 4,  NULL,  1),
('2024-05-10', '14:30:00', 5,  NULL,  1),
('2024-05-10', '15:00:00', 1,  NULL,  1),
('2024-05-10', '15:00:00', 2,  NULL,  1),
('2024-05-10', '15:00:00', 3,  NULL,  1),
('2024-05-10', '15:00:00', 4,  NULL,  1),
('2024-05-10', '15:00:00', 5,  NULL,  1),
('2024-05-10', '15:30:00', 1,  NULL,  1),
('2024-05-10', '15:30:00', 2,  NULL,  1),
('2024-05-10', '15:30:00', 3,  NULL,  1),
('2024-05-10', '15:30:00', 4,  NULL,  1),
('2024-05-10', '15:30:00', 5,  NULL,  1),
('2024-05-10', '16:00:00', 1,  NULL,  1),
('2024-05-10', '16:00:00', 2,  NULL,  1),
('2024-05-10', '16:00:00', 3,  NULL,  1),
('2024-05-10', '16:00:00', 4,  NULL,  1),
('2024-05-10', '16:00:00', 5,  NULL,  1),
('2024-05-10', '16:30:00', 1,  NULL,  1),
('2024-05-10', '16:30:00', 2,  NULL,  1),
('2024-05-10', '16:30:00', 3,  NULL,  1),
('2024-05-10', '16:30:00', 4,  NULL,  1),
('2024-05-10', '16:30:00', 5,  NULL,  1),
('2024-05-10', '17:00:00', 1,  NULL,  1),
('2024-05-10', '17:00:00', 2,  NULL,  1),
('2024-05-10', '17:00:00', 3,  NULL,  1),
('2024-05-10', '17:00:00', 4,  NULL,  1),
('2024-05-10', '17:00:00', 5,  NULL,  1),
('2024-05-10', '17:30:00', 1,  NULL,  1),
('2024-05-10', '17:30:00', 2,  NULL,  1),
('2024-05-10', '17:30:00', 3,  NULL,  1),
('2024-05-10', '17:30:00', 4,  NULL,  1),
('2024-05-10', '17:30:00', 5,  NULL,  1),
('2024-05-10', '18:00:00', 1,  NULL,  1),
('2024-05-10', '18:00:00', 2,  NULL,  1),
('2024-05-10', '18:00:00', 3,  NULL,  1),
('2024-05-10', '18:00:00', 4,  NULL,  1),
('2024-05-10', '18:00:00', 5,  NULL,  1),
('2024-05-10', '18:30:00', 1,  NULL,  1),
('2024-05-10', '18:30:00', 2,  NULL,  1),
('2024-05-10', '18:30:00', 3,  NULL,  1),
('2024-05-10', '18:30:00', 4,  NULL,  1),
('2024-05-10', '18:30:00', 5,  NULL,  1),
('2024-05-10', '19:00:00', 1,  NULL,  1),
('2024-05-10', '19:00:00', 2,  NULL,  1),
('2024-05-10', '19:00:00', 3,  NULL,  1),
('2024-05-10', '19:00:00', 4,  NULL,  1),
('2024-05-10', '19:00:00', 5,  NULL,  1),
('2024-05-10', '19:30:00', 1,  NULL,  1),
('2024-05-10', '19:30:00', 2,  NULL,  1),
('2024-05-10', '19:30:00', 3,  NULL,  1),
('2024-05-10', '19:30:00', 4,  NULL,  1),
('2024-05-10', '19:30:00', 5,  NULL,  1),
('2024-05-10', '20:00:00', 1,  NULL,  1),
('2024-05-10', '20:00:00', 2,  NULL,  1),
('2024-05-10', '20:00:00', 3,  NULL,  1),
('2024-05-10', '20:00:00', 4,  NULL,  1),
('2024-05-10', '20:00:00', 5,  NULL,  1),
('2024-05-10', '20:30:00', 1,  NULL,  1),
('2024-05-10', '20:30:00', 2,  NULL,  1),
('2024-05-10', '20:30:00', 3,  NULL,  1),
('2024-05-10', '20:30:00', 4,  NULL,  1),
('2024-05-10', '20:30:00', 5,  NULL,  1),
('2024-05-10', '21:00:00', 1,  NULL,  1),
('2024-05-10', '21:00:00', 2,  NULL,  1),
('2024-05-10', '21:00:00', 3,  NULL,  1),
('2024-05-10', '21:00:00', 4,  NULL,  1),
('2024-05-10', '21:00:00', 5,  NULL,  1),
('2024-05-10', '21:30:00', 1,  NULL,  1),
('2024-05-10', '21:30:00', 2,  NULL,  1),
('2024-05-10', '21:30:00', 3,  NULL,  1),
('2024-05-10', '21:30:00', 4,  NULL,  1),
('2024-05-10', '21:30:00', 5,  NULL,  1),
('2024-05-10', '22:00:00', 1,  NULL,  1),
('2024-05-10', '22:00:00', 2,  NULL,  1),
('2024-05-10', '22:00:00', 3,  NULL,  1),
('2024-05-10', '22:00:00', 4,  NULL,  1),
('2024-05-10', '22:00:00', 5,  NULL,  1),
('2024-05-10', '22:30:00', 1,  NULL,  1),
('2024-05-10', '22:30:00', 2,  NULL,  1),
('2024-05-10', '22:30:00', 3,  NULL,  1),
('2024-05-10', '22:30:00', 4,  NULL,  1),
('2024-05-10', '22:30:00', 5,  NULL,  1),
('2024-05-10', '23:00:00', 1,  NULL,  1),
('2024-05-10', '23:00:00', 2,  NULL,  1),
('2024-05-10', '23:00:00', 3,  NULL,  1),
('2024-05-10', '23:00:00', 4,  NULL,  1),
('2024-05-10', '23:00:00', 5,  NULL,  1),
('2024-05-10', '23:30:00', 1,  NULL,  1),
('2024-05-10', '23:30:00', 2,  NULL,  1),
('2024-05-10', '23:30:00', 3,  NULL,  1),
('2024-05-10', '23:30:00', 4,  NULL,  1),
('2024-05-10', '23:30:00', 5,  NULL,  1),
('2024-05-11', '00:00:00', 1,  NULL,  1),
('2024-05-11', '00:00:00', 2,  NULL,  1),
('2024-05-11', '00:00:00', 3,  NULL,  1),
('2024-05-11', '00:00:00', 4,  NULL,  1),
('2024-05-11', '00:00:00', 5,  NULL,  1),
('2024-05-11', '00:30:00', 1,  NULL,  1),
('2024-05-11', '00:30:00', 2,  NULL,  1),
('2024-05-11', '00:30:00', 3,  NULL,  1),
('2024-05-11', '00:30:00', 4,  NULL,  1),
('2024-05-11', '00:30:00', 5,  NULL,  1),
('2024-05-11', '01:00:00', 1,  NULL,  1),
('2024-05-11', '01:00:00', 2,  NULL,  1),
('2024-05-11', '01:00:00', 3,  NULL,  1),
('2024-05-11', '01:00:00', 4,  NULL,  1),
('2024-05-11', '01:00:00', 5,  NULL,  1),
('2024-05-11', '01:30:00', 1,  NULL,  1),
('2024-05-11', '01:30:00', 2,  NULL,  1),
('2024-05-11', '01:30:00', 3,  NULL,  1),
('2024-05-11', '01:30:00', 4,  NULL,  1),
('2024-05-11', '01:30:00', 5,  NULL,  1),
('2024-05-11', '02:00:00', 1,  NULL,  1),
('2024-05-11', '02:00:00', 2,  NULL,  1),
('2024-05-11', '02:00:00', 3,  NULL,  1),
('2024-05-11', '02:00:00', 4,  NULL,  1),
('2024-05-11', '02:00:00', 5,  NULL,  1),
('2024-05-11', '02:30:00', 1,  NULL,  1),
('2024-05-11', '02:30:00', 2,  NULL,  1),
('2024-05-11', '02:30:00', 3,  NULL,  1),
('2024-05-11', '02:30:00', 4,  NULL,  1),
('2024-05-11', '02:30:00', 5,  NULL,  1),
('2024-05-11', '03:00:00', 1,  NULL,  1),
('2024-05-11', '03:00:00', 2,  NULL,  1),
('2024-05-11', '03:00:00', 3,  NULL,  1),
('2024-05-11', '03:00:00', 4,  NULL,  1),
